# y,eta,chord,ellipse,schrenk,cl
1.629630,0.407407,1.327160,1.453477,1.390319,1.047589
1.625626,0.406406,1.327995,1.454187,1.391091,1.047512
1.621622,0.405405,1.328829,1.454894,1.391862,1.047435
1.617618,0.404404,1.329663,1.455600,1.392631,1.047357
1.613614,0.403403,1.330497,1.456303,1.393400,1.047278
1.609610,0.402402,1.331331,1.457004,1.394168,1.047198
1.605606,0.401401,1.332165,1.457704,1.394935,1.047118
1.601602,0.400400,1.333000,1.458401,1.395700,1.047037
1.597598,0.399399,1.333834,1.459096,1.396465,1.046956
1.593594,0.398398,1.334668,1.459789,1.397228,1.046873
1.589590,0.397397,1.335502,1.460480,1.397991,1.046791
1.585586,0.396396,1.336336,1.461169,1.398753,1.046707
1.581582,0.395395,1.337171,1.461856,1.399513,1.046623
1.577578,0.394394,1.338005,1.462540,1.400273,1.046538
1.573574,0.393393,1.338839,1.463223,1.401031,1.046452
1.569570,0.392392,1.339673,1.463904,1.401788,1.046366
1.565566,0.391391,1.340507,1.464582,1.402545,1.046279
1.561562,0.390390,1.341341,1.465259,1.403300,1.046192
1.557558,0.389389,1.342176,1.465934,1.404055,1.046104
1.553554,0.388388,1.343010,1.466606,1.404808,1.046015
1.549550,0.387387,1.343844,1.467277,1.405560,1.045925
1.545546,0.386386,1.344678,1.467945,1.406311,1.045835
1.541542,0.385385,1.345512,1.468611,1.407062,1.045744
1.537538,0.384384,1.346346,1.469276,1.407811,1.045653
1.533534,0.383383,1.347181,1.469938,1.408559,1.045561
1.529530,0.382382,1.348015,1.470598,1.409306,1.045468
1.525526,0.381381,1.348849,1.471257,1.410053,1.045375
1.521522,0.380380,1.349683,1.471913,1.410798,1.045281
1.517518,0.379379,1.350517,1.472567,1.411542,1.045186
1.513514,0.378378,1.351351,1.473219,1.412285,1.045091
1.509510,0.377377,1.352186,1.473870,1.413028,1.044995
1.505506,0.376376,1.353020,1.474518,1.413769,1.044899
1.501502,0.375375,1.353854,1.475164,1.414509,1.044802
1.497497,0.374374,1.354688,1.475808,1.415248,1.044704
1.493493,0.373373,1.355522,1.476450,1.415986,1.044606
1.489489,0.372372,1.356356,1.477091,1.416723,1.044507
1.485485,0.371371,1.357191,1.477729,1.417460,1.044407
1.481481,0.370370,1.358025,1.478365,1.418195,1.044307
1.477477,0.369369,1.358859,1.478999,1.418929,1.044206
1.473473,0.368368,1.359693,1.479632,1.419662,1.044105
1.469469,0.367367,1.360527,1.480262,1.420394,1.044003
